om p1 p2 p3
7.480 3.93376e-2 3.21530e-3 2.48458e+3
7.500 3.83727e-2 3.13535e-3 2.40245e+3
7.520 3.73688e-2 3.05119e-3 2.32132e+3
7.540 3.63297e-2 2.96320e-3 2.24217e+3
7.560 3.52589e-2 2.87179e-3 2.16594e+3
7.580 3.41603e-2 2.77736e-3 2.09350e+3
7.600 3.30375e-2 2.68034e-3 2.02560e+3
7.620 3.18944e-2 2.58115e-3 1.96288e+3
7.640 3.07347e-2 2.48022e-3 1.90588e+3
7.660 2.95622e-2 2.37795e-3 1.85500e+3
7.680 2.83806e-2 2.27479e-3 1.81050e+3
7.700 2.71937e-2 2.17113e-3 1.77249e+3
7.720 2.60049e-2 2.06738e-3 1.74099e+3
7.740 2.48178e-2 1.96393e-3 1.71583e+3
7.760 2.36360e-2 1.86117e-3 1.69676e+3
7.780 2.24626e-2 1.75945e-3 1.68339e+3
7.800 2.13010e-2 1.65911e-3 1.67524e+3
7.820 2.01542e-2 1.56049e-3 1.67173e+3
7.840 1.90251e-2 1.46389e-3 1.67220e+3
7.860 1.79166e-2 1.36958e-3 1.67594e+3
7.880 1.68312e-2 1.27783e-3 1.68220e+3
7.900 1.57716e-2 1.18888e-3 1.69021e+3
7.920 1.47399e-2 1.10292e-3 1.69917e+3
7.940 1.37383e-2 1.02015e-3 1.70831e+3
7.960 1.27687e-2 9.40721e-4 1.71689e+3
7.980 1.18330e-2 8.64770e-4 1.72419e+3
8.000 1.09326e-2 7.92403e-4 1.72959e+3
8.020 1.00690e-2 7.23704e-4 1.73249e+3
8.040 9.24327e-3 6.58731e-4 1.73240e+3
8.060 8.45649e-3 5.97518e-4 1.72890e+3
8.080 7.70944e-3 5.40078e-4 1.72170e+3
8.100 7.00273e-3 4.86401e-4 1.71056e+3
8.120 6.33678e-3 4.36456e-4 1.69538e+3
8.140 5.71184e-3 3.90194e-4 1.67614e+3
8.160 5.12796e-3 3.47547e-4 1.65292e+3
8.180 4.58503e-3 3.08430e-4 1.62591e+3
8.200 4.08275e-3 2.72743e-4 1.59536e+3
8.220 3.62068e-3 2.40373e-4 1.56162e+3
8.240 3.19821e-3 2.11195e-4 1.52509e+3
8.260 2.81457e-3 1.85073e-4 1.48624e+3
8.280 2.46886e-3 1.61860e-4 1.44559e+3
8.300 2.16003e-3 1.41406e-4 1.40367e+3
8.320 1.88691e-3 1.23550e-4 1.36104e+3
8.340 1.64822e-3 1.08132e-4 1.31829e+3
8.360 1.44255e-3 9.49835e-5 1.27597e+3
8.380 1.26841e-3 8.39383e-5 1.23462e+3
8.400 1.12420e-3 7.48283e-5 1.19476e+3
8.420 1.00827e-3 6.74864e-5 1.15686e+3
8.440 9.18862e-4 6.17477e-5 1.12134e+3
8.460 8.54187e-4 5.74503e-5 1.08857e+3
8.480 8.12391e-4 5.44366e-5 1.05884e+3
8.500 7.91589e-4 5.25537e-5 1.03238e+3
8.520 7.89861e-4 5.16544e-5 1.00934e+3
8.540 8.05275e-4 5.15981e-5 9.89805e+2
8.560 8.35887e-4 5.22509e-5 9.73776e+2
8.580 8.79759e-4 5.34865e-5 9.61187e+2
8.600 9.34963e-4 5.51863e-5 9.51897e+2
8.620 9.99597e-4 5.72400e-5 9.45706e+2
8.640 1.07179e-3 5.95455e-5 9.42351e+2
8.660 1.14972e-3 6.20090e-5 9.41520e+2
8.680 1.23160e-3 6.45455e-5 9.42857e+2
8.700 1.31573e-3 6.70781e-5 9.45972e+2
8.720 1.40047e-3 6.95385e-5 9.50452e+2
8.740 1.48425e-3 7.18665e-5 9.55865e+2
8.760 1.56559e-3 7.40099e-5 9.61779e+2
8.780 1.64312e-3 7.59241e-5 9.67763e+2
8.800 1.71556e-3 7.75721e-5 9.73401e+2
8.820 1.78174e-3 7.89238e-5 9.78301e+2
8.840 1.84062e-3 7.99561e-5 9.82100e+2
8.860 1.89125e-3 8.06520e-5 9.84473e+2
8.880 1.93285e-3 8.10005e-5 9.85142e+2
8.900 1.96474e-3 8.09964e-5 9.83874e+2
8.920 1.98638e-3 8.06393e-5 9.80492e+2
8.940 1.99739e-3 7.99340e-5 9.74874e+2
8.960 1.99751e-3 7.88893e-5 9.66954e+2
