om p1 p2
12.320 2.30368e+0 3.50008e-2
12.340 2.22580e+0 2.52850e-2
12.360 2.14858e+0 1.76876e-2
12.380 2.07224e+0 1.22531e-2
12.400 1.99694e+0 8.99353e-3
12.420 1.92287e+0 7.88849e-3
12.440 1.85017e+0 8.88507e-3
12.460 1.77901e+0 1.18990e-2
12.480 1.70951e+0 1.68161e-2
12.500 1.64179e+0 2.34945e-2
12.520 1.57597e+0 3.17674e-2
12.540 1.51215e+0 4.14460e-2
12.560 1.45041e+0 5.23230e-2
12.580 1.39082e+0 6.41766e-2
12.600 1.33344e+0 7.67747e-2
12.620 1.27832e+0 8.98787e-2
12.640 1.22551e+0 1.03248e-1
12.660 1.17503e+0 1.16645e-1
12.680 1.12690e+0 1.29837e-1
12.700 1.08113e+0 1.42602e-1
12.720 1.03772e+0 1.54734e-1
12.740 9.96650e-1 1.66041e-1
12.760 9.57917e-1 1.76353e-1
12.780 9.21496e-1 1.85522e-1
12.800 8.87356e-1 1.93425e-1
12.820 8.55462e-1 1.99962e-1
12.840 8.25775e-1 2.05062e-1
12.860 7.98251e-1 2.08681e-1
12.880 7.72841e-1 2.10800e-1
12.900 7.49495e-1 2.11427e-1
12.920 7.28160e-1 2.10592e-1
12.940 7.08780e-1 2.08351e-1
12.960 6.91299e-1 2.04779e-1
12.980 6.75658e-1 1.99970e-1
13.000 6.61800e-1 1.94033e-1
13.020 6.49666e-1 1.87092e-1
13.040 6.39200e-1 1.79280e-1
13.060 6.30344e-1 1.70735e-1
13.080 6.23042e-1 1.61604e-1
13.100 6.17239e-1 1.52032e-1
13.120 6.12884e-1 1.42162e-1
13.140 6.09926e-1 1.32137e-1
13.160 6.08315e-1 1.22091e-1
13.180 6.08005e-1 1.12152e-1
13.200 6.08951e-1 1.02435e-1
13.220 6.11112e-1 9.30480e-2
13.240 6.14448e-1 8.40851e-2
13.260 6.18923e-1 7.56279e-2
13.280 6.24501e-1 6.77454e-2
13.300 6.31150e-1 6.04935e-2
13.320 6.38842e-1 5.39156e-2
13.340 6.47547e-1 4.80429e-2
13.360 6.57242e-1 4.28954e-2
13.380 6.67902e-1 3.84826e-2
13.400 6.79505e-1 3.48050e-2
13.420 6.92033e-1 3.18548e-2
13.440 7.05466e-1 2.96177e-2
13.460 7.19787e-1 2.80736e-2
13.480 7.34980e-1 2.71983e-2
13.500 7.51029e-1 2.69643e-2
13.520 7.67919e-1 2.73422e-2
13.540 7.85636e-1 2.83013e-2
13.560 8.04163e-1 2.98106e-2
13.580 8.23487e-1 3.18392e-2
13.600 8.43591e-1 3.43569e-2
13.620 8.64457e-1 3.73345e-2
13.640 8.86069e-1 4.07436e-2
13.660 9.08405e-1 4.45565e-2
13.680 9.31444e-1 4.87465e-2
13.700 9.55164e-1 5.32867e-2
13.720 9.79537e-1 5.81502e-2
13.740 1.00454e+0 6.33090e-2
13.760 1.03013e+0 6.87340e-2
13.780 1.05628e+0 7.43938e-2
13.800 1.08296e+0 8.02546e-2
13.820 1.11011e+0 8.62793e-2
13.840 1.13771e+0 9.24274e-2
13.860 1.16569e+0 9.86543e-2
13.880 1.19401e+0 1.04911e-1
13.900 1.22262e+0 1.11146e-1
13.920 1.25145e+0 1.17302e-1
13.940 1.28045e+0 1.23318e-1
