u H off
8.22352 3727 0.244321
8.22577 3735 -0.249016
8.22802 3744 -0.093709
8.23027 3752 -0.883280
8.23251 3761 -0.299465
8.23476 3769 -0.010169
8.23701 3778 0.144248
8.23926 3786 0.969790
8.24151 3795 -0.067515
8.24376 3803 -0.520724
8.24601 3812 -0.147290
8.24826 3820 0.147721
8.25051 3829 0.006017
8.25276 3838 0.386385
8.25501 3846 0.474252
8.25726 3855 -0.330932
8.25950 3864 0.038313
8.26175 3872 -0.800653
8.26400 3881 -0.504484
8.26625 3890 0.193128
8.26850 3899 0.021268
8.27075 3907 0.227824
8.27300 3916 1.046342
8.27525 3925 0.117894
8.27750 3934 0.302707
8.27975 3943 -0.295291
8.28200 3952 -0.095503
8.28425 3960 0.038504
8.28649 3969 0.197694
8.28874 3978 0.334174
8.29099 3987 0.440409
8.29324 3996 0.744654
8.29549 4005 0.100608
8.29774 4014 0.195062
8.29999 4023 -0.327786
8.30224 4032 -0.292343
8.30449 4041 0.185246
8.30674 4051 0.220564
8.30899 4060 0.502963
8.31124 4069 0.561893
8.31348 4078 0.680560
8.31573 4087 0.708860
8.31798 4096 0.877974
8.32023 4106 0.742632
8.32248 4115 -0.302523
8.32473 4124 0.014828
8.32698 4133 -1.125051
8.32923 4143 -0.944465
8.33148 4152 -0.408507
8.33373 4161 -0.346682
8.33598 4171 -0.293394
8.33823 4180 0.138193
8.34047 4190 0.200780
8.34272 4199 0.313979
8.34497 4208 0.649681
8.34722 4218 0.542840
8.34947 4227 0.691780
8.35172 4237 0.599876
8.35397 4247 0.330339
8.35622 4256 0.527184
8.35847 4266 0.586306
8.36072 4275 -0.342468
8.36297 4285 0.033998
8.36522 4295 -0.176253
8.36746 4304 0.139360
8.36971 4314 0.261907
8.37196 4324 0.199365
8.37421 4333 -0.317448
8.37646 4343 -0.644350
8.37871 4353 -0.656008
8.38096 4363 -0.645820
8.38321 4373 -0.875208
8.38546 4382 -0.682310
8.38771 4392 -0.567379
8.38996 4402 -0.547961
8.39221 4412 -0.168074
8.39445 4422 -0.538198
8.39670 4432 -0.405783
8.39895 4442 -0.517895
8.40120 4452 -0.370953
8.40345 4462 -0.174317
8.40570 4472 -0.441565
8.40795 4482 -0.492497
8.41020 4492 -0.571643
8.41245 4502 -0.644201
8.41470 4512 -0.896332
8.41695 4523 -0.999773
8.41920 4533 -0.729232
8.42144 4543 -0.538736
8.42369 4553 -0.795074
8.42594 4563 -0.618976
8.42819 4574 0.195411
8.43044 4584 0.227238
8.43269 4594 0.174681
8.43494 4605 -0.275933
8.43719 4615 -0.357777
8.43944 4625 -0.202098
8.44169 4636 0.308576
8.44394 4646 0.283160
8.44619 4657 0.280477
8.44843 4667 0.463928
8.45068 4678 0.364062
8.45293 4688 0.149174
8.45518 4699 0.121962
8.45743 4709 0.244103
8.45968 4720 -0.026788
8.46193 4731 -0.199749
8.46418 4741 -0.251185
8.46643 4752 -0.543441
8.46868 4763 -1.058121
8.47093 4773 -1.217151
8.47318 4784 -0.128171
8.47542 4795 -0.060920
8.47767 4806 0.827565
8.47992 4817 0.281328
8.48217 4827 0.854247
8.48442 4838 0.742293
8.48667 4849 0.364087
8.48892 4860 0.085108
8.49117 4871 -0.314171
8.49342 4882 -0.618310
8.49567 4893 -1.114169
8.49792 4904 0.186414
8.50017 4915 -0.126995
8.50241 4926 0.603491
8.50466 4937 0.409367
8.50691 4948 -0.059819
8.50916 4960 -0.132821
8.51141 4971 -0.172320
8.51366 4982 -0.343256
8.51591 4993 -0.685614
8.51816 5004 -0.126236
8.52041 5016 0.361502
8.52266 5027 0.154850
8.52491 5038 -0.079509
8.52716 5050 -0.320567
8.52940 5061 -0.288859
8.53165 5072 -0.521659
8.53390 5084 0.352958
8.53615 5095 0.101994
8.53840 5107 0.918591
8.54065 5118 0.491171
8.54290 5130 -0.178335
8.54515 5141 -0.356443
8.54740 5153 -1.079709
8.54965 5164 -0.069294
8.55190 5176 0.575358
8.55415 5188 0.049487
8.55639 5199 0.085299
8.55864 5211 -0.184919
8.56089 5223 -0.856696
8.56314 5235 -0.245917
8.56539 5246 1.047523
8.56764 5258 0.368427
8.56989 5270 -0.082186
8.57214 5282 -0.805517
8.57439 5294 -0.341838
8.57664 5306 0.437163
8.57889 5318 0.014533
8.58114 5330 -0.249085
8.58338 5342 -0.619189
8.58563 5354 0.060084
8.58788 5366 1.005656
8.59013 5378 0.355774
8.59238 5390 -0.136888
8.59463 5402 -0.551940
8.59688 5414 0.052191
8.59913 5426 0.596213
8.60138 5439 -0.075475
8.60363 5451 -0.274856
8.60588 5463 -1.092408
8.60813 5475 -0.152747
8.61037 5488 0.675228
8.61262 5500 0.338522
8.61487 5513 -0.650277
8.61712 5525 -0.205861
8.61937 5537 0.285631
8.62162 5550 -0.355155
8.62387 5562 -0.936661
8.62612 5575 -0.458324
8.62837 5587 0.442682
8.63062 5600 -0.203166
8.63287 5613 -0.957721
8.63512 5625 -0.429603
8.63736 5638 0.226853
8.63961 5651 -0.523676
8.64186 5663 -0.932570
8.64411 5676 0.371202
8.64636 5689 0.004103
8.64861 5702 -0.857418
8.65086 5715 -0.036922
8.65311 5727 0.504028
8.65536 5740 0.063566
8.65761 5753 -0.645110
8.65986 5766 1.083892
8.66211 5779 0.213982
8.66435 5792 -0.483866
8.66660 5805 -0.560651
8.66885 5818 0.036487
8.67110 5831 -0.661731
8.67335 5845 0.147863
8.67560 5858 0.338559
8.67785 5871 -0.223744
8.68010 5884 0.242483
8.68235 5897 0.929166
8.68460 5911 -0.276616
8.68685 5924 0.272972
8.68910 5937 0.234877
8.69135 5951 -0.467098
8.69359 5964 0.026750
8.69584 5978 0.320043
8.69809 5991 -0.172289
8.70034 6004 0.271565
8.70259 6018 0.758929
8.70484 6032 -0.373789
8.70709 6045 -0.132096
8.70934 6059 -0.140761
8.71159 6072 -0.821739
8.71384 6086 0.775382
8.71609 6100 0.152703
8.71834 6113 -0.878178
8.72058 6127 0.647985
8.72283 6141 -0.300402
8.72508 6155 0.087625
8.72733 6169 -0.116769
8.72958 6183 -0.889679
8.73183 6197 0.003718
8.73408 6211 -0.807170
8.73633 6224 -0.083853
8.73858 6239 0.123524
