u x R1 R2 R3
7.98242 2929 3996323.8275118335 7799054330.9917383 17123178295454.434
7.98752 2944 4037385.3927976736 7919559451.5631380 17476842486170.754
7.99261 2959 4078655.4972288823 8041299549.9770651 17835957170845.176
7.99766 2974 4120138.2453805818 8164280930.4580841 18200578064808.020
8.00269 2989 4161829.8090015203 8288509928.8598070 18570761168845.977
8.00770 3004 4203730.3000239385 8413992803.5109625 18946562766513.387
8.01268 3019 4245841.1049519917 8540735848.4751053 19328039423676.738
8.01764 3034 4288163.9625535011 8668745393.8344440 19715247990247.473
8.02257 3049 4330695.6700434787 8798027762.1227512 20108245601449.320
8.02748 3064 4373436.0252502551 8928589204.8854580 20507089674988.961
8.03268 3080 4419258.2991183102 9069271674.1418514 20939032470915.512
8.03754 3095 4462433.7498116829 9202496545.6750050 21350142398636.992
8.04270 3111 4508716.4193341881 9346034325.9303837 21795301215339.836
8.04751 3126 4552325.4819841227 9481949444.9995975 22218925944147.414
8.05261 3142 4599072.3959734263 9628371172.7573223 22677567655390.559
8.05769 3158 4646057.5666182023 9776292618.8325291 23143273572266.063
8.06275 3174 4693280.7135307556 9925721399.1604271 23616115864046.641
8.06746 3189 4737769.0934093846 10067186627.847797 24065951289682.879
8.07247 3205 4785455.6396044465 10219557584.065912 24552827046846.895
8.07745 3221 4833381.3235209920 10373458320.190145 25047053294056.215
8.08271 3238 4884565.3685208932 10538662643.855949 25580304982565.730
8.08764 3254 4932983.3529209355 10695742778.940704 26089924515275.910
8.09255 3270 4981641.1368546095 10854376126.672194 26607121140844.055
8.09773 3287 5033602.2186136143 11024634515.538626 27165028403921.551
8.10259 3303 5082751.8710364699 11186495553.675871 27698089234417.172
8.10772 3320 5135235.7690597232 11360200573.669104 28273022401781.941
8.11253 3336 5184878.2799692880 11525321761.916185 28822268583589.672
8.11761 3353 5237885.0695708813 11702507979.151024 29414570582552.777
8.12267 3370 5291160.3029986899 11881500967.446333 30015955112547.449
8.12770 3387 5344706.4715036890 12062309945.828381 30626514553469.590
8.13271 3404 5398520.1397991097 12244944045.453646 31246341754276.051
8.13769 3421 5452602.7065814193 12429412367.693039 31875530027988.125
8.14265 3438 5506957.3807977084 12615724140.004486 32514173154689.012
8.14758 3455 5561581.5912896991 12803888547.732330 33162365385047.945
8.15249 3472 5616473.0793248974 12993914712.106741 33820201436408.398
8.15766 3490 5674889.7801222308 13197158328.329142 34527350944950.996
8.16252 3507 5730337.3014210612 13391046423.410917 35205342153942.672
8.16764 3525 5789340.2438363703 13598399705.192154 35934047640999.891
8.17273 3543 5848646.1754601318 13807882551.016842 36674007654375.688
8.17752 3560 5904935.0722237816 14007692655.301697 37383296688461.906
8.18256 3578 5964829.2753155669 14221347496.258379 38145471069758.320
8.18758 3596 6025025.8067392074 14437163968.880533 38919241127559.094
8.19257 3614 6085524.6193491509 14655152972.668936 39704723884188.148
8.19754 3632 6146325.2641186155 14875325348.239561 40502036949128.781
8.20248 3650 6207427.1793704145 15097691991.240633 41311298518809.172
8.20767 3669 6272252.3546112794 15334804841.200109 42178612977546.836
8.21257 3687 6333977.3108088467 15561716086.472891 43012809043080.617
8.21771 3706 6399456.9968205830 15803650293.677748 43906710165882.281
8.22255 3724 6461801.4975438528 16035152061.287809 44766347729709.656
8.22764 3743 6527938.6047259336 16281956075.660957 45687373373953.492
8.23271 3762 6594409.9121191492 16531279656.349802 46622538594258.039
8.23774 3781 6661221.2783913594 16783135575.946907 47571987369063.906
8.24249 3799 6724827.0642088670 17024083552.939632 48484771981432.273
8.24774 3819 6795851.5057293624 17294495890.708965 49514315159814.609
8.25271 3838 6863674.6490765614 17554025827.454861 50507485786665.492
8.25764 3857 6931832.6069724271 17816139416.241982 51515523193554.578
8.26256 3876 7000324.0328265810 18080849354.369034 52538575010740.500
8.26771 3896 7072791.0291620027 18362310432.731983 53631855311071.742
8.27257 3915 7141976.6847779592 18632389973.950062 54686191784694.680
8.27767 3935 7215167.7074661562 18919531604.471081 55812734794007.000
8.28274 3955 7288733.8846340794 19209608401.291824 56956594280954.172
8.28753 3974 7358964.4531818582 19487913611.926468 58059460981680.984
8.29255 3994 7433256.5381394336 19783756782.323418 59237596235042.703
8.29754 4014 7507922.9511563685 20082579144.596741 60433571379572.000
8.30251 4034 7582960.6075226711 20384395571.582222 61647565613784.250
8.30771 4055 7662153.6195974778 20704541518.229515 62941849670172.609
8.31263 4075 7737956.3395787664 21012542472.961315 64193347029369.680
8.31752 4095 7814131.9569488950 21323582992.761745 65463415558035.227
8.32264 4116 7894517.9427045202 21653463197.718910 66817174787892.555
8.32773 4137 7975314.8166824384 21986728250.614601 68191823002923.500
8.33255 4157 8052647.2527590161 22307286257.674271 69520627971660.680
8.33759 4178 8134246.8082746565 22647209592.266392 70936676598023.031
8.34260 4199 8216259.8222837495 22990568791.375084 72374248532988.672
8.34759 4220 8298683.5041255839 23337381179.614918 73833560782876.609
8.35255 4241 8381520.3699334003 23687664017.522865 75314831441241.172
8.35773 4263 8468741.6741394848 24058368135.444981 76890429394743.969
8.36264 4284 8552418.2069564350 24415811058.647945 78417347588647.063
8.36753 4305 8636509.6032741107 24776777112.723465 79966895573940.313
8.37263 4327 8725043.4354071617 25158729641.241512 81614745871666.844
8.37770 4349 8814031.3580297288 25544587606.650070 83287933805446.828
