logY Y sqrtY_P sqrtY_T sqrtY_L1 sqrtY_L2 sqrtY_R
12.03230 168098 -0.2937659 0.0094083 -0.0421885 -0.2344632 -0.0265226
12.05538 172023 -0.4033047 0.0110197 -0.0518574 -0.2868364 -0.0756305
12.07847 176041 -0.4389472 0.0136528 -0.0522399 -0.2953314 -0.1050286
12.10156 180152 -0.4954385 0.0082696 -0.0512085 -0.2767166 -0.1757829
12.12463 184358 -0.4674087 0.0045473 -0.0525185 -0.2739606 -0.1454770
12.14772 188664 -0.3091545 -0.0044718 -0.0486672 -0.2321565 -0.0238589
12.17080 193069 -0.1487726 -0.0122548 -0.0397249 -0.1679875 0.0711945
12.19389 197578 -0.0571623 -0.0131116 -0.0247781 -0.0911116 0.0718391
12.21697 202192 -0.0038138 -0.0115115 -0.0163591 -0.0530166 0.0770734
12.24005 206913 0.0061718 -0.0063386 -0.0196388 -0.0823472 0.1144964
12.26314 211745 -0.0617022 0.0043838 -0.0214987 -0.1184531 0.0738658
12.28622 216690 0.0300220 0.0071703 -0.0153585 -0.0947181 0.1329283
12.30931 221750 0.1956351 0.0062055 -0.0096398 -0.0637127 0.2627822
12.33239 226928 0.2159618 0.0081459 -0.0055406 -0.0480675 0.2614240
12.35547 232228 0.2276913 0.0088509 -0.0013925 -0.0290898 0.2493227
12.37856 237651 0.2355937 0.0079750 -0.0015588 -0.0277314 0.2569089
12.40164 243200 0.2733881 0.0010082 0.0014731 0.0048449 0.2660619
12.42472 248879 0.2919261 -0.0032466 0.0130375 0.0733042 0.2088309
12.44781 254691 0.3585987 -0.0062455 0.0270146 0.1506867 0.1871430
12.47089 260639 0.3832745 -0.0159350 0.0348587 0.2141308 0.1502200
12.49397 266725 0.4601689 -0.0171878 0.0387066 0.2365026 0.2021474
12.51706 272954 0.6617538 -0.0168099 0.0387410 0.2357297 0.4040931
12.54014 279328 0.7683647 -0.0097236 0.0381838 0.2152279 0.5246767
12.56323 285851 0.8108554 0.0047324 0.0351043 0.1636906 0.6073281
12.58631 292526 0.7670876 0.0149087 0.0317297 0.1213770 0.5990722
12.60939 299357 0.6498902 0.0189981 0.0210182 0.0575954 0.5522785
12.63248 306348 0.5394138 0.0135161 0.0109218 0.0208189 0.4941570
12.65556 313502 0.3888623 0.0129152 0.0058004 -0.0032857 0.3734323
12.67864 320823 0.2644364 0.0100142 -0.0024909 -0.0374900 0.2944031
