u x r1 r2
12.4834 2.6392e+5 9.40759e+0 1.49837e+2
12.4915 2.6607e+5 5.52643e+0 1.51829e+2
12.4996 2.6823e+5 6.68528e+0 1.53779e+2
12.5077 2.7041e+5 2.56424e+0 1.55628e+2
12.5158 2.7261e+5 -2.77062e+0 1.57376e+2
12.5239 2.7483e+5 3.96213e-1 1.59116e+2
12.5320 2.7707e+5 4.00277e+0 1.60843e+2
12.5401 2.7932e+5 1.97924e-1 1.62538e+2
12.5482 2.8159e+5 3.71440e+0 1.64245e+2
12.5563 2.8388e+5 6.82261e+0 1.65935e+2
12.5644 2.8619e+5 3.36978e+0 1.67595e+2
12.5725 2.8852e+5 1.61167e+0 1.69157e+2
12.5806 2.9087e+5 3.10506e-1 1.70675e+2
12.5887 2.9323e+5 3.97001e+0 1.72221e+2
12.5968 2.9562e+5 9.68011e+0 1.73787e+2
12.6049 2.9802e+5 1.00919e+1 1.75365e+2
12.6130 3.0045e+5 -3.57551e-1 1.76833e+2
12.6211 3.0289e+5 -2.33829e+0 1.78181e+2
12.6292 3.0536e+5 3.85007e-2 1.79520e+2
12.6373 3.0784e+5 -9.37897e+0 1.80741e+2
12.6454 3.1034e+5 -1.30333e+1 1.81851e+2
12.6535 3.1287e+5 -1.78059e+1 1.82852e+2
12.6616 3.1541e+5 -1.61344e+1 1.83788e+2
12.6697 3.1798e+5 -1.59912e+1 1.84730e+2
12.6778 3.2057e+5 -2.12577e+1 1.85616e+2
12.6859 3.2317e+5 -2.29578e+1 1.86448e+2
12.6940 3.2580e+5 -1.41332e+1 1.87293e+2
12.7021 3.2845e+5 -9.05458e+0 1.88222e+2
12.7102 3.3112e+5 -3.64726e+0 1.89199e+2
12.7183 3.3382e+5 3.13665e+0 1.90247e+2
12.7265 3.3653e+5 1.46027e+1 1.91428e+2
12.7346 3.3927e+5 1.31035e+1 1.92669e+2
12.7427 3.4203e+5 8.43807e+0 1.93829e+2
12.7508 3.4481e+5 1.67520e+1 1.94964e+2
12.7589 3.4762e+5 1.71131e+1 1.96187e+2
12.7670 3.5044e+5 9.87428e+0 1.97306e+2
12.7751 3.5330e+5 1.66196e+1 1.98391e+2
12.7832 3.5617e+5 1.90542e+1 1.99512e+2
12.7913 3.5907e+5 2.98579e+1 2.00722e+2
12.7994 3.6199e+5 2.39837e+1 2.01944e+2
12.8075 3.6493e+5 2.54801e+1 2.03093e+2
12.8156 3.6790e+5 3.19595e+1 2.04311e+2
12.8237 3.7089e+5 3.65224e+1 2.05588e+2
12.8318 3.7391e+5 4.15564e+1 2.06898e+2
12.8399 3.7695e+5 5.09097e+1 2.08308e+2
12.8480 3.8002e+5 5.36960e+1 2.09815e+2
12.8561 3.8311e+5 4.85783e+1 2.11250e+2
12.8642 3.8623e+5 4.90984e+1 2.12614e+2
12.8723 3.8937e+5 5.04906e+1 2.13997e+2
12.8804 3.9254e+5 4.67222e+1 2.15328e+2
12.8885 3.9573e+5 3.86844e+1 2.16541e+2
12.8966 3.9895e+5 4.27856e+1 2.17669e+2
12.9047 4.0219e+5 4.06780e+1 2.18821e+2
12.9128 4.0546e+5 4.69922e+1 2.19951e+2
12.9209 4.0876e+5 5.33960e+1 2.21182e+2
12.9290 4.1209e+5 4.86289e+1 2.22348e+2
12.9371 4.1544e+5 4.98125e+1 2.23494e+2
12.9452 4.1882e+5 4.86357e+1 2.24587e+2
12.9533 4.2223e+5 4.90841e+1 2.25695e+2
12.9614 4.2566e+5 3.99502e+1 2.26649e+2
12.9695 4.2912e+5 4.56771e+1 2.27571e+2
12.9776 4.3261e+5 4.86175e+1 2.28583e+2
