u x n2
12.7519 3.4519e+5 3.29909e-1
12.7593 3.4777e+5 3.80172e-1
12.7667 3.5036e+5 4.19035e-1
12.7741 3.5297e+5 4.11278e-1
12.7816 3.5560e+5 4.11504e-1
12.7890 3.5825e+5 3.85983e-1
12.7964 3.6092e+5 3.67550e-1
12.8038 3.6361e+5 3.57239e-1
12.8113 3.6632e+5 3.37997e-1
12.8187 3.6905e+5 3.35009e-1
12.8261 3.7180e+5 3.33051e-1
12.8335 3.7457e+5 3.57753e-1
12.8410 3.7736e+5 4.11046e-1
12.8484 3.8017e+5 4.25499e-1
12.8558 3.8301e+5 4.22677e-1
12.8632 3.8586e+5 3.96979e-1
12.8707 3.8873e+5 3.88135e-1
12.8781 3.9163e+5 3.56444e-1
12.8855 3.9455e+5 3.05281e-1
12.8929 3.9749e+5 2.26108e-1
12.9004 4.0045e+5 1.57869e-1
12.9078 4.0344e+5 9.51600e-2
12.9152 4.0644e+5 -1.82686e-3
12.9226 4.0947e+5 -7.99470e-2
12.9300 4.1252e+5 -1.44951e-1
12.9375 4.1560e+5 -1.86238e-1
12.9449 4.1870e+5 -2.02955e-1
12.9523 4.2182e+5 -2.06357e-1
12.9597 4.2496e+5 -2.15248e-1
12.9672 4.2813e+5 -2.67241e-1
12.9746 4.3132e+5 -2.91479e-1
12.9820 4.3453e+5 -2.89760e-1
12.9894 4.3777e+5 -2.70388e-1
12.9969 4.4103e+5 -2.70494e-1
13.0043 4.4432e+5 -2.64611e-1
13.0117 4.4763e+5 -2.98080e-1
13.0191 4.5096e+5 -3.35066e-1
13.0266 4.5433e+5 -3.64171e-1
13.0340 4.5771e+5 -3.73014e-1
13.0414 4.6112e+5 -3.88639e-1
13.0488 4.6456e+5 -4.22252e-1
13.0563 4.6802e+5 -4.55960e-1
13.0637 4.7151e+5 -4.86441e-1
13.0711 4.7502e+5 -4.94844e-1
13.0785 4.7856e+5 -5.11278e-1
13.0860 4.8213e+5 -5.18209e-1
13.0934 4.8572e+5 -5.29390e-1
13.1008 4.8934e+5 -5.10023e-1
13.1082 4.9299e+5 -4.77503e-1
13.1157 4.9666e+5 -4.74115e-1
13.1231 5.0036e+5 -4.86839e-1
13.1305 5.0409e+5 -4.86699e-1
13.1379 5.0785e+5 -4.56949e-1
13.1454 5.1163e+5 -4.52264e-1
13.1528 5.1545e+5 -4.49972e-1
13.1602 5.1929e+5 -4.51607e-1
13.1676 5.2316e+5 -4.27481e-1
13.1751 5.2706e+5 -4.12293e-1
13.1825 5.3098e+5 -4.08292e-1
13.1899 5.3494e+5 -4.03644e-1
13.1973 5.3893e+5 -3.96867e-1
13.2048 5.4294e+5 -3.81732e-1
13.2122 5.4699e+5 -3.62249e-1
13.2196 5.5106e+5 -3.36181e-1
13.2270 5.5517e+5 -2.89685e-1
13.2345 5.5931e+5 -2.70187e-1
13.2419 5.6348e+5 -2.40323e-1
13.2493 5.6768e+5 -2.23175e-1
13.2567 5.7191e+5 -2.10419e-1
13.2642 5.7617e+5 -1.86562e-1
13.2716 5.8046e+5 -1.96121e-1
13.2790 5.8479e+5 -1.98884e-1
13.2864 5.8915e+5 -2.11792e-1
13.2939 5.9354e+5 -2.27358e-1
13.3013 5.9796e+5 -2.28723e-1
13.3087 6.0242e+5 -2.17473e-1
13.3161 6.0690e+5 -2.03439e-1
13.3236 6.1143e+5 -1.92371e-1
13.3310 6.1598e+5 -1.72570e-1
13.3384 6.2057e+5 -1.50353e-1
13.3458 6.2520e+5 -1.31696e-1
13.3532 6.2986e+5 -1.00601e-1
13.3607 6.3455e+5 -8.89194e-2
13.3681 6.3928e+5 -7.62099e-2
13.3755 6.4404e+5 -7.87041e-2
13.3829 6.4884e+5 -9.43826e-2
13.3904 6.5368e+5 -1.01348e-1
13.3978 6.5855e+5 -1.23111e-1
13.4052 6.6346e+5 -1.11459e-1
13.4126 6.6840e+5 -1.02955e-1
13.4201 6.7338e+5 -8.69797e-2
13.4275 6.7840e+5 -9.02030e-2
13.4349 6.8346e+5 -7.53761e-2
13.4423 6.8855e+5 -4.88927e-2
13.4498 6.9368e+5 -4.50507e-2
13.4572 6.9885e+5 -8.13436e-2
13.4646 7.0406e+5 -1.06157e-1
13.4720 7.0931e+5 -1.26872e-1
13.4795 7.1459e+5 -1.21729e-1
13.4869 7.1992e+5 -1.12152e-1
13.4943 7.2528e+5 -1.29255e-1
13.5017 7.3069e+5 -1.66539e-1
13.5092 7.3613e+5 -1.80102e-1
13.5166 7.4162e+5 -1.74697e-1
13.5240 7.4715e+5 -1.56899e-1
13.5314 7.5271e+5 -1.08487e-1
13.5389 7.5832e+5 -8.60810e-2
13.5463 7.6397e+5 -5.79172e-2
13.5537 7.6967e+5 -5.09371e-2
13.5611 7.7540e+5 -6.36458e-2
13.5686 7.8118e+5 -9.11534e-2
13.5760 7.8700e+5 -1.07449e-1
13.5834 7.9287e+5 -1.29184e-1
13.5908 7.9878e+5 -1.57062e-1
13.5983 8.0473e+5 -1.98016e-1
13.6057 8.1073e+5 -2.32142e-1
13.6131 8.1677e+5 -2.56084e-1
13.6205 8.2285e+5 -3.02708e-1
13.6280 8.2899e+5 -3.25204e-1
13.6354 8.3516e+5 -3.42580e-1
13.6428 8.4139e+5 -3.41785e-1
13.6502 8.4766e+5 -3.21835e-1
13.6577 8.5397e+5 -3.02210e-1
13.6651 8.6034e+5 -2.83075e-1
13.6725 8.6675e+5 -2.66210e-1
13.6799 8.7321e+5 -2.58935e-1
13.6874 8.7972e+5 -2.36827e-1
13.6948 8.8627e+5 -2.04369e-1
13.7022 8.9288e+5 -1.77779e-1
13.7096 8.9953e+5 -1.56938e-1
13.7171 9.0623e+5 -1.47499e-1
13.7245 9.1299e+5 -1.60100e-1
13.7319 9.1979e+5 -1.33971e-1
13.7393 9.2665e+5 -9.75906e-2
13.7468 9.3355e+5 -5.85053e-2
13.7542 9.4051e+5 -4.11634e-2
13.7616 9.4752e+5 -2.88770e-2
13.7690 9.5458e+5 -2.78049e-2
13.7765 9.6169e+5 -4.13156e-2
13.7839 9.6886e+5 -3.78599e-2
13.7913 9.7608e+5 -3.87733e-2
13.7987 9.8335e+5 -1.86247e-2
13.8061 9.9068e+5 8.59207e-3
13.8136 9.9806e+5 9.99775e-3
13.8210 1.0055e+6 -2.39022e-2
13.8284 1.0130e+6 -4.76655e-2
13.8358 1.0205e+6 -8.01042e-2
13.8433 1.0281e+6 -7.55484e-2
13.8507 1.0358e+6 -7.97941e-2
13.8581 1.0435e+6 -7.41005e-2
13.8655 1.0513e+6 -7.82307e-2
13.8730 1.0591e+6 -4.82313e-2
13.8804 1.0670e+6 -2.18774e-2
13.8878 1.0750e+6 -4.12502e-3
13.8952 1.0830e+6 -1.70126e-2
13.9027 1.0911e+6 -4.90218e-2
13.9101 1.0992e+6 -7.02012e-2
13.9175 1.1074e+6 -1.09638e-1
13.9249 1.1156e+6 -8.72497e-2
